"Compound"	"Species"	"Concentration"	"Unit"	"BiologicalReplicate"	"TechnicalReplicate"	"Liver integrity (%)"	"Date"	"RET dose (mg/kg bw)"	"DOSEORIGINALUNIT"	"CMAXULIV"	"Response"
"RTS"	"rat"	31.25	"uM"	"2"	"b"	94.7402045143284	2021-09-03	64.5654229034656	"mgperkgbw"	30.9	5.25979548567162
"RTS"	"rat"	31.25	"uM"	"2"	"c"	93.9208694853602	2021-09-03	64.5654229034656	"mgperkgbw"	30.9	6.07913051463981
"RTS"	"rat"	31.25	"uM"	"3"	"a"	97.1913884484064	2021-09-10	64.5654229034656	"mgperkgbw"	30.9	2.8086115515936
"RTS"	"rat"	31.25	"uM"	"3"	"b"	96.9099558565122	2021-09-10	64.5654229034656	"mgperkgbw"	30.9	3.09004414348777
"RTS"	"rat"	31.25	"uM"	"3"	"c"	97.7471106730096	2021-09-10	64.5654229034656	"mgperkgbw"	30.9	2.25288932699038
"RTS"	"rat"	62.5	"uM"	"1"	"a"	91.8793227313498	2021-08-27	123.026877081238	"mgperkgbw"	62	8.12067726865017
"RTS"	"rat"	62.5	"uM"	"1"	"b"	91.855092055314	2021-08-27	123.026877081238	"mgperkgbw"	62	8.14490794468603
"RTS"	"rat"	62.5	"uM"	"1"	"c"	92.6240971947679	2021-08-27	123.026877081238	"mgperkgbw"	62	7.37590280523212
"RTS"	"rat"	62.5	"uM"	"2"	"a"	93.1686145172432	2021-09-03	123.026877081238	"mgperkgbw"	62	6.83138548275683
"RTS"	"rat"	62.5	"uM"	"2"	"b"	90.3991662906723	2021-09-03	123.026877081238	"mgperkgbw"	62	9.60083370932773
"RTS"	"rat"	62.5	"uM"	"2"	"c"	94.3473070150571	2021-09-03	123.026877081238	"mgperkgbw"	62	5.65269298494292
"RTS"	"rat"	62.5	"uM"	"3"	"a"	85.8926556093658	2021-09-10	123.026877081238	"mgperkgbw"	62	14.1073443906342
"RTS"	"rat"	62.5	"uM"	"3"	"b"	86.9083844054915	2021-09-10	123.026877081238	"mgperkgbw"	62	13.0916155945085
